repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
9,1,1,80,32,48,0.001,0.0005,0.4,0.5349999999999999,22,0.5188944142806026,0.8367810650887573,0.46153846153846156,0.9815384615384616,0.7215384615384616,0.5417018396126179,0.5607476635514019,0.9342657342657342,0.5349999999999999,30,638,12,35
9,1,2,32,64,48,0.0005,0.0005,0.5,0.5149999999999999,15,0.4553204449210991,0.7797278106508876,0.38461538461538464,0.9815384615384616,0.6830769230769231,0.4751833862605169,0.4901960784313726,0.9272727272727272,0.5149999999999999,25,638,12,40
9,1,3,64,64,48,0.0003,0.0005,0.2,0.48999999999999994,16,0.46448532991898805,0.7592781065088758,0.4307692307692308,0.9615384615384616,0.6961538461538461,0.43050009429293756,0.4745762711864407,0.9132867132867133,0.48999999999999994,28,625,25,37
9,1,4,64,32,24,0.0003,0.0005,0.5,0.49499999999999994,11,0.3301814206529444,0.6209230769230769,0.49230769230769234,0.7415384615384616,0.6169230769230769,0.14977005028097257,0.24150943396226413,0.7188811188811188,0.49499999999999994,32,482,168,33
9,1,5,32,48,32,0.0005,0.0005,0.5,0.48999999999999994,13,0.3049525643068469,0.6353846153846154,0.24615384615384617,0.9938461538461538,0.62,0.4184245890129397,0.37647058823529417,0.9258741258741259,0.48999999999999994,16,646,4,49
9,2,0,48,64,24,0.0005,0.0001,0.2,0.575,2,0.30475475594795376,0.6226745562130178,0.18461538461538463,0.9969230769230769,0.5907692307692307,0.37666822064119326,0.3037974683544304,0.9230769230769231,0.575,12,648,2,53
9,2,1,48,32,16,0.001,0.0001,0.2,0.575,21,0.5951587701642773,0.8930532544378698,0.6,0.98,0.79,0.6420707920165691,0.6666666666666665,0.9454545454545454,0.575,39,637,13,26
9,2,2,32,16,48,0.001,0.0001,0.2,0.4749999999999999,15,0.36725931961798464,0.7459171597633136,0.6923076923076923,0.7384615384615385,0.7153846153846154,0.2700559804154308,0.32142857142857145,0.7342657342657343,0.4749999999999999,45,480,170,20
9,2,3,64,64,24,0.0005,0.001,0.2,0.605,19,0.5517791543144662,0.7858343195266273,0.4307692307692308,0.9953846153846154,0.7130769230769232,0.6015488090158371,0.5833333333333334,0.9440559440559441,0.605,28,647,3,37
9,2,4,80,16,48,0.0003,0.0001,0.2,0.5049999999999999,22,0.44074401886064263,0.7908402366863905,0.23076923076923078,0.9892307692307692,0.61,0.3662335103823572,0.3448275862068966,0.9202797202797203,0.5049999999999999,15,643,7,50
9,2,5,32,48,48,0.0005,0.0001,0.4,0.42999999999999994,15,0.30971451632227315,0.7333254437869823,0.7230769230769231,0.7076923076923077,0.7153846153846154,0.2630691430197487,0.31125827814569534,0.7090909090909091,0.42999999999999994,47,460,190,18
9,3,0,64,48,16,0.001,0.001,0.2,0.4699999999999999,28,0.6433656402701624,0.9166508875739644,0.7230769230769231,0.963076923076923,0.8430769230769231,0.659572819926074,0.6911764705882353,0.9412587412587412,0.4699999999999999,47,626,24,18
9,3,1,48,64,32,0.0003,0.001,0.5,0.5299999999999999,13,0.4930100385893905,0.7894319526627219,0.2923076923076923,0.9923076923076923,0.6423076923076924,0.4542836262964807,0.4269662921348315,0.9286713286713286,0.5299999999999999,19,645,5,46
9,3,2,64,48,24,0.0003,0.0005,0.4,0.42999999999999994,18,0.2997572542396623,0.7060828402366864,0.9692307692307692,0.4876923076923077,0.7284615384615385,0.26424909878161656,0.2733188720173536,0.5314685314685315,0.42999999999999994,63,317,333,2
9,3,3,64,64,24,0.0005,0.0005,0.2,0.7449999999999999,16,0.4051805987684546,0.7576449704142012,0.24615384615384617,0.9861538461538462,0.6161538461538462,0.363565276319023,0.35555555555555557,0.9188811188811189,0.7449999999999999,16,641,9,49
9,3,4,64,16,48,0.0005,0.0001,0.2,0.4699999999999999,15,0.5966671094866596,0.7951834319526627,0.5230769230769231,0.9876923076923076,0.7553846153846153,0.6244618428867678,0.6355140186915887,0.9454545454545454,0.4699999999999999,34,642,8,31
9,3,5,48,32,48,0.001,0.0001,0.2,0.4649999999999999,22,0.680416052200948,0.9284260355029585,0.7230769230769231,0.9676923076923077,0.8453846153846154,0.6769237385372552,0.7067669172932332,0.9454545454545454,0.4649999999999999,47,629,21,18
9,4,0,64,48,32,0.0005,0.0005,0.5,0.4599999999999999,21,0.4908926689022524,0.8342485207100591,0.5692307692307692,0.9661538461538461,0.7676923076923077,0.5593727663113225,0.5967741935483871,0.9300699300699301,0.4599999999999999,37,628,22,28
9,4,1,48,64,32,0.0003,0.001,0.5,0.5049999999999999,7,0.5795095738533506,0.8797633136094676,0.3076923076923077,0.9892307692307692,0.6484615384615384,0.4477970289717207,0.4347826086956522,0.9272727272727272,0.5049999999999999,20,643,7,45
9,4,2,48,16,48,0.0003,0.0005,0.2,0.48999999999999994,37,0.49412708251963977,0.8530177514792898,0.6307692307692307,0.9338461538461539,0.7823076923076924,0.5040942476261502,0.5503355704697985,0.9062937062937063,0.48999999999999994,41,607,43,24
9,4,3,32,64,48,0.0003,0.001,0.5,0.48999999999999994,23,0.27430503285799046,0.6204733727810651,0.23076923076923078,0.9784615384615385,0.6046153846153847,0.3049143414218245,0.3191489361702128,0.9104895104895104,0.48999999999999994,15,636,14,50
9,4,4,32,16,32,0.0005,0.0005,0.5,0.4799999999999999,14,0.6237418907952292,0.7877396449704143,0.36923076923076925,0.9938461538461538,0.6815384615384615,0.5380896254333104,0.5161290322580645,0.9370629370629371,0.4799999999999999,24,646,4,41
9,4,5,80,48,48,0.0003,0.0005,0.4,0.48999999999999994,50,0.6114528024368103,0.8713727810650888,0.6307692307692307,0.9707692307692307,0.8007692307692307,0.6237068046101857,0.6559999999999999,0.9398601398601398,0.48999999999999994,41,631,19,24
10,0,0,64,64,16,0.0003,0.0001,0.4,0.5199999999999999,23,0.5121036330221814,0.81358642578125,0.484375,0.9796875,0.73203125,0.5511351921262151,0.5740740740740741,0.9346590909090909,0.5199999999999999,31,627,13,33
10,0,1,64,16,32,0.001,0.0005,0.5,0.5549999999999999,23,0.5162671601777475,0.83228759765625,0.34375,0.978125,0.6609375,0.4200758731328069,0.44000000000000006,0.9204545454545454,0.5549999999999999,22,626,14,42
10,0,2,64,16,24,0.0005,0.001,0.2,0.5499999999999999,30,0.5020595198753687,0.6852294921875,0.4375,0.9875,0.7125,0.5546632887967159,0.56,0.9375,0.5499999999999999,28,632,8,36
10,0,3,32,64,32,0.0003,0.001,0.2,0.4049999999999999,4,0.2977333452505077,0.6206054687499999,0.9375,0.2375,0.5875,0.1211338286954819,0.19607843137254904,0.30113636363636365,0.4049999999999999,60,152,488,4
10,0,4,80,64,32,0.0003,0.0001,0.5,0.48999999999999994,20,0.3195207789593269,0.6934814453125,0.234375,0.9921875,0.61328125,0.3920351010660095,0.35714285714285715,0.9232954545454546,0.48999999999999994,15,635,5,49
10,0,5,48,64,16,0.001,0.0001,0.5,0.5399999999999999,19,0.48260670721631166,0.80975341796875,0.421875,0.9875,0.7046875,0.5414448288322912,0.5454545454545455,0.9360795454545454,0.5399999999999999,27,632,8,37
10,1,0,80,64,16,0.0003,0.001,0.5,0.5049999999999999,20,0.3602118849217805,0.7933372781065089,0.24615384615384617,0.9923076923076923,0.6192307692307693,0.4060152215044614,0.37209302325581395,0.9244755244755245,0.5049999999999999,16,645,5,49
